timestamp_us,cache_key,object_size_bytes,session_id,agent_type
1775443612654357,https://gdpr-info.eu/,20063,regulatory-lookup-1_scraping_0,crawler
1775443612849330,https://gdpr-info.eu/wp-content/plugins/solidsales-search-plugin/assets/styles/style.css,203,regulatory-lookup-1_scraping_0,crawler
1775443612849053,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/plugins/widget-logic/block_widget/css/widget.css,313,regulatory-lookup-1_scraping_0,crawler
1775443612848999,https://gdpr-info.eu/wp-includes/css/dist/block-library/style.min.css,16313,regulatory-lookup-1_scraping_0,crawler
1775443612849098,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/themes/twentyfifteen/style.css,11402,regulatory-lookup-1_scraping_0,crawler
1775443612849144,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/themes/twentyfifteen-child/style.css,18378,regulatory-lookup-1_scraping_0,crawler
1775443612849186,https://gdpr-info.eu/wp-content/cache/min/1/wp-includes/css/dashicons.min.css,36031,regulatory-lookup-1_scraping_0,crawler
1775443612849231,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/themes/twentyfifteen/genericons/genericons.css,16375,regulatory-lookup-1_scraping_0,crawler
1775443612849288,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/themes/twentyfifteen/css/blocks.css,2180,regulatory-lookup-1_scraping_0,crawler
1775443612849379,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/plugins/tablepress/css/build/default.css,1990,regulatory-lookup-1_scraping_0,crawler
1775443612849423,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/css/rating/grid.min.css,760,regulatory-lookup-1_scraping_0,crawler
1775443612849464,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/css/rating/core.min.css,1115,regulatory-lookup-1_scraping_0,crawler
1775443612849514,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/css/methods/stars.min.css,1222,regulatory-lookup-1_scraping_0,crawler
1775443612849558,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/plugins/gd-rating-system/css/fonts/default.min.css,856,regulatory-lookup-1_scraping_0,crawler
1775443612849606,https://gdpr-info.eu/wp-content/cache/min/1/wp-includes/js/thickbox/thickbox.css,1093,regulatory-lookup-1_scraping_0,crawler
1775443612848940,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/img/logo-intersoft-consulting.png,15087,regulatory-lookup-1_scraping_0,crawler
1775443612849741,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/js/rating/events.min.js,797,regulatory-lookup-1_scraping_0,crawler
1775443612857476,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/js/jquery.scrollUp.min.js,1105,regulatory-lookup-1_scraping_0,crawler
1775443612849704,https://gdpr-info.eu/wp-includes/js/jquery/jquery-migrate.min.js,5227,regulatory-lookup-1_scraping_0,crawler
1775443612857547,https://gdpr-info.eu/wp-content/plugins/solidsales-search-plugin/assets/javascript/build/searchwp-live-search.min.js,4513,regulatory-lookup-1_scraping_0,crawler
1775443612848728,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/src/fonts/Roboto/RobotoSlab-Medium.ttf,173793,regulatory-lookup-1_scraping_0,crawler
1775443612849655,https://gdpr-info.eu/wp-includes/js/jquery/jquery.min.js,31658,regulatory-lookup-1_scraping_0,crawler
1775443612848883,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/src/fonts/Roboto/RobotoSlab-Regular.ttf,173113,regulatory-lookup-1_scraping_0,crawler
1775443612849811,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/img/DE-flagge.svg,430,regulatory-lookup-1_scraping_0,crawler
1775443612857586,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/js/rating/core.min.js,2931,regulatory-lookup-1_scraping_0,crawler
1775443612857622,https://gdpr-info.eu/wp-content/plugins/gd-rating-system/js/methods/stars-rating.min.js,1483,regulatory-lookup-1_scraping_0,crawler
1775443612857658,https://gdpr-info.eu/wp-content/cache/min/1/wp-content/themes/twentyfifteen-child/js/functions.js,1186,regulatory-lookup-1_scraping_0,crawler
1775443612857696,https://gdpr-info.eu/wp-content/cache/min/1/wp-includes/js/thickbox/thickbox.js,3034,regulatory-lookup-1_scraping_0,crawler
1775443613041914,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/img/search.png,1652,regulatory-lookup-1_scraping_0,crawler
1775443613042392,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/img/externer-link-icon.svg,667,regulatory-lookup-1_scraping_0,crawler
1775443613045372,https://gdpr-info.eu/wp-content/themes/twentyfifteen-child/src/fonts/Roboto/Roboto-Light.otf,259131,regulatory-lookup-1_scraping_0,crawler
